No,Ch1,Ch2,Ch3,Ch4
23053,0.37,0.115,0.143,0.372
23054,0.348,0.088,0.395,0.169
23055,0.627,0.137,0.086,0.15
23056,0.184,0.138,0.232,0.446
23057,0.218,0.453,0.111,0.218
23058,0.087,0.415,0.28,0.218
23059,0.344,0.161,0.221,0.274
23060,0.462,0.121,0.085,0.332
23061,0.4,0.224,0.256,0.12
23062,0.101,0.163,0.21,0.526
23063,0.191,0.102,0.515,0.192
23064,0.138,0.209,0.445,0.208
23065,0.094,0.238,0.448,0.22
23066,0.083,0.612,0.085,0.22
23067,0.391,0.118,0.253,0.238
23068,0.606,0.173,0.06,0.161
23069,0.086,0.586,0.098,0.23
23070,0.153,0.528,0.1,0.219
23071,0.073,0.49,0.23,0.207
23072,0.176,0.09,0.55,0.184
23073,0.094,0.084,0.543,0.279
23074,0.489,0.115,0.095,0.301
23075,0.391,0.243,0.105,0.261
23076,0.491,0.15,0.101,0.258
23077,0.62,0.075,0.119,0.186
23078,0.081,0.136,0.618,0.165
23079,0.499,0.124,0.224,0.153
23080,0.333,0.288,0.116,0.263
23081,0.064,0.099,0.635,0.202
23082,0.158,0.592,0.08,0.17
23083,0.13,0.431,0.234,0.205
23084,0.082,0.155,0.485,0.278
23085,0.177,0.139,0.138,0.546
23086,0.216,0.298,0.176,0.31
23087,0.113,0.217,0.318,0.352
23088,0.161,0.189,0.331,0.319
23089,0.316,0.194,0.15,0.34
23090,0.153,0.202,0.228,0.417
23091,0.179,0.3,0.149,0.372
23092,0.187,0.154,0.267,0.392
23093,0.231,0.162,0.179,0.428
23094,0.329,0.191,0.112,0.368
23095,0.171,0.195,0.153,0.481
23096,0.24,0.143,0.225,0.392
23097,0.285,0.139,0.234,0.342
23098,0.213,0.177,0.244,0.366
23099,0.364,0.159,0.132,0.345
23100,0.116,0.158,0.377,0.349
23101,0.125,0.31,0.15,0.415
23102,0.273,0.143,0.141,0.443
23103,0.14,0.218,0.274,0.368
23104,0.135,0.24,0.193,0.432
23105,0.186,0.455,0.129,0.23
23106,0.221,0.239,0.304,0.236
23107,0.323,0.208,0.307,0.162
23108,0.35,0.2,0.125,0.325
23109,0.148,0.211,0.316,0.325
23110,0.389,0.111,0.213,0.287
23111,0.109,0.374,0.203,0.314
23112,0.186,0.125,0.52,0.169
23113,0.184,0.325,0.269,0.222
23114,0.083,0.271,0.298,0.348
23115,0.112,0.345,0.303,0.24
23116,0.099,0.548,0.106,0.247
23117,0.142,0.142,0.375,0.341
23118,0.095,0.119,0.333,0.453
23119,0.125,0.247,0.212,0.416
23120,0.527,0.16,0.109,0.204
23121,0.28,0.358,0.12,0.242
23122,0.203,0.198,0.206,0.393
23123,0.092,0.407,0.225,0.276
23124,0.243,0.293,0.114,0.35
23125,0.126,0.342,0.214,0.318
23126,0.262,0.222,0.172,0.344
23127,0.253,0.139,0.352,0.256
23128,0.409,0.135,0.137,0.319
23129,0.253,0.247,0.16,0.34
23130,0.14,0.445,0.103,0.312
23131,0.116,0.141,0.493,0.25
23132,0.385,0.155,0.178,0.282
23133,0.102,0.199,0.487,0.212
23134,0.103,0.194,0.252,0.451
23135,0.147,0.348,0.19,0.315
23136,0.361,0.126,0.251,0.262
23137,0.135,0.181,0.195,0.489
23138,0.104,0.192,0.45,0.254
23139,0.321,0.213,0.148,0.318
23140,0.092,0.467,0.123,0.318
23141,0.144,0.305,0.159,0.392
23142,0.379,0.14,0.294,0.187
23143,0.177,0.276,0.278,0.269
23144,0.072,0.258,0.291,0.379
23145,0.204,0.338,0.13,0.328
23146,0.092,0.522,0.206,0.18
23147,0.138,0.11,0.155,0.597
23148,0.211,0.478,0.097,0.214
23149,0.347,0.188,0.204,0.261
23150,0.108,0.315,0.13,0.447
23151,0.276,0.123,0.365,0.236
23152,0.081,0.112,0.38,0.427
23153,0.279,0.275,0.113,0.333
23154,0.094,0.151,0.172,0.583
23155,0.365,0.183,0.099,0.353
23156,0.303,0.134,0.119,0.444
23157,0.098,0.486,0.101,0.315
23158,0.417,0.168,0.122,0.293
23159,0.306,0.208,0.125,0.361
23160,0.089,0.162,0.139,0.61
23161,0.305,0.266,0.095,0.334
23162,0.204,0.28,0.149,0.367
23163,0.159,0.494,0.144,0.203
23164,0.176,0.431,0.167,0.226
23165,0.081,0.214,0.391,0.314
23166,0.446,0.132,0.105,0.317
23167,0.214,0.115,0.206,0.465
23168,0.176,0.148,0.24,0.436
23169,0.231,0.17,0.423,0.176
23170,0.132,0.147,0.191,0.53
23171,0.21,0.114,0.239,0.437
23172,0.177,0.458,0.108,0.257
23173,0.134,0.116,0.214,0.536
23174,0.521,0.12,0.116,0.243
23175,0.391,0.115,0.173,0.321
23176,0.109,0.433,0.135,0.323
23177,0.48,0.166,0.224,0.13
23178,0.128,0.303,0.285,0.284
23179,0.133,0.477,0.09,0.3
23180,0.109,0.265,0.387,0.239
23181,0.183,0.426,0.145,0.246
23182,0.494,0.164,0.169,0.173
23183,0.194,0.183,0.157,0.466
23184,0.184,0.212,0.273,0.331
23185,0.222,0.196,0.152,0.43
23186,0.178,0.206,0.14,0.476
23187,0.095,0.195,0.491,0.219
23188,0.238,0.43,0.168,0.164
23189,0.219,0.156,0.143,0.482
23190,0.127,0.215,0.191,0.467
23191,0.165,0.348,0.145,0.342
23192,0.195,0.192,0.2,0.413
23193,0.135,0.188,0.201,0.476
23194,0.327,0.177,0.172,0.324
23195,0.253,0.18,0.157,0.41
23196,0.167,0.245,0.206,0.382
23197,0.156,0.197,0.195,0.452
23198,0.158,0.196,0.19,0.456
23199,0.321,0.202,0.106,0.371
23200,0.142,0.177,0.446,0.235
23201,0.221,0.189,0.342,0.248
23202,0.127,0.286,0.378,0.209
23203,0.12,0.465,0.176,0.239
23204,0.154,0.255,0.202,0.389
23205,0.127,0.177,0.405,0.291
23206,0.243,0.225,0.145,0.387
23207,0.371,0.164,0.254,0.211
23208,0.208,0.176,0.21,0.406
23209,0.177,0.292,0.139,0.392
23210,0.349,0.238,0.154,0.259
23211,0.224,0.353,0.171,0.252
23212,0.114,0.233,0.239,0.414
23213,0.113,0.143,0.345,0.399
23214,0.382,0.137,0.25,0.231
23215,0.23,0.177,0.151,0.442
23216,0.195,0.171,0.174,0.46
23217,0.104,0.27,0.138,0.488
23218,0.142,0.16,0.244,0.454
23219,0.208,0.238,0.187,0.367
23220,0.303,0.185,0.253,0.259
23221,0.389,0.138,0.138,0.335
23222,0.226,0.169,0.294,0.311
23223,0.185,0.27,0.219,0.326
23224,0.192,0.212,0.219,0.377
23225,0.297,0.344,0.128,0.231
23226,0.161,0.223,0.269,0.347
23227,0.354,0.206,0.151,0.289
23228,0.193,0.161,0.201,0.445
23229,0.249,0.172,0.196,0.383
23230,0.151,0.269,0.15,0.43
23231,0.148,0.243,0.23,0.379
23232,0.234,0.239,0.207,0.32
23233,0.222,0.175,0.25,0.353
23234,0.189,0.179,0.192,0.44
23235,0.17,0.145,0.256,0.429
23236,0.35,0.106,0.22,0.324
23237,0.122,0.21,0.267,0.401
23238,0.118,0.18,0.264,0.438
23239,0.276,0.262,0.114,0.348
23240,0.166,0.352,0.114,0.368
23241,0.19,0.123,0.247,0.44
23242,0.222,0.261,0.238,0.279
23243,0.154,0.252,0.252,0.342
23244,0.146,0.335,0.292,0.227
23245,0.302,0.277,0.16,0.261
23246,0.233,0.166,0.247,0.354
23247,0.268,0.122,0.253,0.357
23248,0.237,0.301,0.204,0.258
23249,0.212,0.181,0.257,0.35
23250,0.172,0.249,0.386,0.193
23251,0.103,0.451,0.252,0.194
23252,0.1,0.275,0.302,0.323
23253,0.252,0.203,0.349,0.196
23254,0.396,0.244,0.149,0.211
23255,0.205,0.235,0.248,0.312
23256,0.39,0.249,0.131,0.23
23257,0.221,0.472,0.106,0.201
23258,0.377,0.15,0.275,0.198
23259,0.244,0.16,0.27,0.326
23260,0.108,0.27,0.361,0.261
23261,0.126,0.291,0.304,0.279
23262,0.424,0.216,0.135,0.225
23263,0.455,0.131,0.23,0.184
23264,0.116,0.259,0.3,0.325
23265,0.432,0.143,0.128,0.297
23266,0.176,0.244,0.149,0.431
23267,0.233,0.197,0.236,0.334
23268,0.256,0.169,0.133,0.442
23269,0.161,0.379,0.134,0.326
23270,0.151,0.345,0.339,0.165
23271,0.297,0.154,0.127,0.422
23272,0.143,0.19,0.459,0.208
23273,0.157,0.272,0.224,0.347
23274,0.38,0.141,0.139,0.34
23275,0.141,0.16,0.294,0.405
23276,0.243,0.273,0.225,0.259
23277,0.53,0.177,0.085,0.208
23278,0.358,0.132,0.16,0.35
23279,0.202,0.421,0.104,0.273
23280,0.268,0.207,0.269,0.256
23281,0.328,0.327,0.139,0.206
23282,0.136,0.271,0.369,0.224
23283,0.093,0.206,0.482,0.219
23284,0.137,0.24,0.329,0.294
23285,0.289,0.254,0.114,0.343
23286,0.2,0.091,0.507,0.202
23287,0.136,0.172,0.357,0.335
23288,0.558,0.115,0.081,0.246
23289,0.129,0.458,0.194,0.219
23290,0.108,0.388,0.112,0.392
23291,0.367,0.224,0.132,0.277
23292,0.174,0.291,0.29,0.245
23293,0.57,0.139,0.115,0.176
23294,0.333,0.171,0.145,0.351
23295,0.22,0.115,0.499,0.166
23296,0.096,0.269,0.369,0.266
23297,0.114,0.148,0.516,0.222
23298,0.296,0.121,0.329,0.254
23299,0.308,0.19,0.135,0.367
23300,0.349,0.182,0.31,0.159
23301,0.311,0.135,0.199,0.355
23302,0.271,0.161,0.402,0.166
23303,0.105,0.174,0.34,0.381
23304,0.145,0.339,0.145,0.371
23305,0.303,0.183,0.125,0.389
23306,0.121,0.437,0.244,0.198
23307,0.125,0.225,0.228,0.422
23308,0.159,0.221,0.432,0.188
23309,0.151,0.215,0.122,0.512
23310,0.109,0.236,0.404,0.251
23311,0.118,0.169,0.173,0.54
23312,0.233,0.12,0.483,0.164
23313,0.199,0.155,0.192,0.454
23314,0.266,0.131,0.308,0.295
23315,0.346,0.278,0.195,0.181
23316,0.174,0.214,0.346,0.266
23317,0.237,0.239,0.225,0.299
23318,0.244,0.209,0.268,0.279
23319,0.184,0.339,0.14,0.337
23320,0.225,0.144,0.229,0.402
23321,0.387,0.092,0.298,0.223
23322,0.138,0.142,0.428,0.292
23323,0.319,0.206,0.223,0.252
23324,0.336,0.247,0.166,0.251
23325,0.146,0.234,0.376,0.244
23326,0.143,0.312,0.171,0.374
23327,0.123,0.196,0.412,0.269
23328,0.131,0.337,0.124,0.408
23329,0.189,0.257,0.173,0.381
23330,0.218,0.246,0.307,0.229
23331,0.184,0.437,0.166,0.213
23332,0.123,0.336,0.364,0.177
23333,0.43,0.124,0.12,0.326
23334,0.26,0.159,0.206,0.375
23335,0.256,0.149,0.151,0.444
23336,0.12,0.154,0.385,0.341
23337,0.399,0.108,0.148,0.345
23338,0.217,0.117,0.436,0.23
23339,0.137,0.205,0.243,0.415
23340,0.123,0.124,0.29,0.463
23341,0.115,0.117,0.397,0.371
23342,0.268,0.133,0.237,0.362
23343,0.14,0.206,0.145,0.509
23344,0.112,0.259,0.146,0.483
23345,0.096,0.182,0.173,0.549
23346,0.121,0.339,0.125,0.415
23347,0.163,0.166,0.102,0.569
23348,0.173,0.19,0.313,0.324
23349,0.116,0.171,0.409,0.304
23350,0.145,0.299,0.119,0.437
23351,0.183,0.209,0.228,0.38
23352,0.149,0.211,0.317,0.323
23353,0.145,0.334,0.194,0.327
23354,0.227,0.317,0.15,0.306
23355,0.239,0.317,0.16,0.284
23356,0.31,0.136,0.306,0.248
23357,0.124,0.304,0.243,0.329
23358,0.244,0.144,0.255,0.357
23359,0.296,0.266,0.14,0.298
23360,0.376,0.235,0.135,0.254
23361,0.2,0.162,0.306,0.332
23362,0.259,0.186,0.224,0.331
23363,0.169,0.308,0.235,0.288
23364,0.16,0.271,0.216,0.353
23365,0.268,0.266,0.202,0.264
23366,0.149,0.156,0.361,0.334
23367,0.242,0.207,0.317,0.234
23368,0.129,0.285,0.331,0.255
23369,0.297,0.265,0.151,0.287
23370,0.193,0.192,0.356,0.259
23371,0.365,0.156,0.223,0.256
23372,0.302,0.199,0.137,0.362
23373,0.16,0.315,0.289,0.236
23374,0.12,0.284,0.366,0.23
23375,0.252,0.293,0.262,0.193
23376,0.24,0.186,0.337,0.237
23377,0.2,0.163,0.353,0.284
23378,0.414,0.157,0.192,0.237
23379,0.139,0.124,0.361,0.376
23380,0.169,0.404,0.162,0.265
23381,0.149,0.269,0.228,0.354
23382,0.147,0.143,0.382,0.328
23383,0.16,0.407,0.142,0.291
23384,0.424,0.142,0.152,0.282
23385,0.211,0.326,0.266,0.197
23386,0.163,0.416,0.103,0.318
23387,0.192,0.228,0.173,0.407
23388,0.151,0.203,0.294,0.352
23389,0.127,0.173,0.253,0.447
23390,0.172,0.32,0.229,0.279
23391,0.186,0.225,0.366,0.223
23392,0.113,0.225,0.457,0.205
23393,0.075,0.49,0.19,0.245
23394,0.252,0.247,0.271,0.23
23395,0.128,0.224,0.365,0.283
23396,0.355,0.169,0.194,0.282
23397,0.293,0.294,0.145,0.268
23398,0.16,0.489,0.118,0.233
23399,0.118,0.438,0.141,0.303
23400,0.352,0.213,0.142,0.293
23401,0.23,0.283,0.175,0.312
23402,0.094,0.398,0.299,0.209
23403,0.123,0.18,0.376,0.321
23404,0.118,0.503,0.2,0.179
23405,0.121,0.367,0.197,0.315
23406,0.405,0.156,0.208,0.231
23407,0.227,0.189,0.148,0.436
23408,0.297,0.217,0.177,0.309
23409,0.259,0.239,0.194,0.308
23410,0.133,0.382,0.277,0.208
23411,0.139,0.298,0.299,0.264
23412,0.125,0.349,0.315,0.211
23413,0.151,0.265,0.149,0.435
23414,0.207,0.362,0.128,0.303
23415,0.359,0.233,0.106,0.302
23416,0.123,0.492,0.123,0.262
23417,0.225,0.128,0.381,0.266
23418,0.147,0.227,0.184,0.442
23419,0.166,0.281,0.146,0.407
23420,0.132,0.107,0.483,0.278
23421,0.306,0.134,0.115,0.445
23422,0.157,0.14,0.299,0.404
23423,0.345,0.125,0.239,0.291
23424,0.213,0.119,0.193,0.475
23425,0.204,0.214,0.137,0.445
23426,0.158,0.315,0.238,0.289
23427,0.355,0.129,0.273,0.243
23428,0.291,0.234,0.235,0.24
23429,0.153,0.511,0.138,0.198
23430,0.374,0.146,0.255,0.225
23431,0.213,0.315,0.317,0.155
23432,0.179,0.213,0.257,0.351
23433,0.426,0.26,0.137,0.177
23434,0.175,0.193,0.398,0.234
23435,0.235,0.309,0.127,0.329
23436,0.383,0.191,0.161,0.265
23437,0.223,0.339,0.213,0.225
23438,0.209,0.148,0.465,0.178
23439,0.159,0.326,0.21,0.305
23440,0.387,0.236,0.162,0.215
23441,0.144,0.158,0.286,0.412
23442,0.393,0.254,0.143,0.21
23443,0.237,0.182,0.333,0.248
23444,0.143,0.211,0.459,0.187
23445,0.13,0.187,0.457,0.226
23446,0.455,0.141,0.155,0.249
23447,0.301,0.161,0.263,0.275
23448,0.227,0.242,0.185,0.346
23449,0.338,0.14,0.213,0.309
23450,0.188,0.18,0.3,0.332
23451,0.172,0.285,0.247,0.296
23452,0.174,0.374,0.112,0.34
23453,0.359,0.19,0.16,0.291
23454,0.229,0.194,0.167,0.41
23455,0.22,0.167,0.177,0.436
23456,0.173,0.454,0.145,0.228
23457,0.172,0.146,0.238,0.444
23458,0.123,0.316,0.254,0.307
23459,0.208,0.402,0.112,0.278
23460,0.268,0.422,0.109,0.201
23461,0.124,0.322,0.289,0.265
23462,0.379,0.184,0.153,0.284
23463,0.126,0.207,0.325,0.342
23464,0.161,0.158,0.31,0.371
23465,0.325,0.231,0.134,0.31
23466,0.221,0.104,0.104,0.571
23467,0.113,0.442,0.15,0.295
23468,0.383,0.147,0.121,0.349
23469,0.094,0.111,0.6,0.195
23470,0.386,0.226,0.118,0.27
23471,0.07,0.304,0.499,0.127
23472,0.132,0.214,0.299,0.355
23473,0.151,0.121,0.196,0.532
23474,0.187,0.111,0.196,0.506
23475,0.095,0.43,0.085,0.39
23476,0.108,0.358,0.121,0.413
23477,0.198,0.107,0.169,0.526
23478,0.101,0.518,0.108,0.273
23479,0.134,0.137,0.155,0.574
23480,0.076,0.463,0.313,0.148
23481,0.168,0.499,0.088,0.245
23482,0.472,0.149,0.177,0.202
23483,0.151,0.143,0.191,0.515
23484,0.109,0.206,0.506,0.179
23485,0.159,0.49,0.104,0.247
23486,0.103,0.353,0.207,0.337
23487,0.21,0.397,0.106,0.287
23488,0.213,0.358,0.156,0.273
23489,0.304,0.149,0.158,0.389
23490,0.108,0.109,0.418,0.365
23491,0.086,0.212,0.173,0.529
23492,0.084,0.452,0.256,0.208
23493,0.169,0.183,0.117,0.531
23494,0.363,0.313,0.076,0.248
23495,0.121,0.537,0.088,0.254
23496,0.167,0.389,0.074,0.37
23497,0.282,0.361,0.109,0.248
23498,0.19,0.094,0.229,0.487
23499,0.12,0.178,0.205,0.497
23500,0.161,0.133,0.431,0.275
23501,0.275,0.154,0.319,0.252
23502,0.202,0.106,0.414,0.278
23503,0.42,0.093,0.098,0.389
23504,0.21,0.345,0.236,0.209
23505,0.185,0.208,0.372,0.235
23506,0.194,0.188,0.392,0.226
23507,0.442,0.209,0.135,0.214
23508,0.148,0.227,0.267,0.358
23509,0.173,0.363,0.113,0.351
23510,0.209,0.136,0.318,0.337
23511,0.284,0.148,0.194,0.374
23512,0.44,0.188,0.101,0.271
23513,0.173,0.194,0.128,0.505
23514,0.316,0.119,0.159,0.406
23515,0.39,0.097,0.299,0.214
23516,0.318,0.124,0.286,0.272
23517,0.414,0.121,0.138,0.327
23518,0.102,0.152,0.478,0.268
23519,0.112,0.35,0.128,0.41
23520,0.346,0.141,0.137,0.376
23521,0.143,0.24,0.379,0.238
23522,0.169,0.307,0.176,0.348
23523,0.113,0.327,0.111,0.449
23524,0.172,0.285,0.19,0.353
23525,0.111,0.255,0.096,0.538
23526,0.073,0.109,0.573,0.245
23527,0.149,0.262,0.205,0.384
23528,0.084,0.517,0.139,0.26
23529,0.156,0.18,0.207,0.457
23530,0.102,0.149,0.476,0.273
23531,0.259,0.098,0.161,0.482
23532,0.164,0.166,0.094,0.576
23533,0.273,0.166,0.11,0.451
23534,0.208,0.143,0.16,0.489
23535,0.105,0.156,0.17,0.569
23536,0.108,0.171,0.167,0.554
23537,0.166,0.221,0.083,0.53
23538,0.406,0.263,0.067,0.264
23539,0.102,0.216,0.131,0.551
23540,0.073,0.097,0.36,0.47
23541,0.095,0.268,0.104,0.533
23542,0.103,0.235,0.402,0.26
23543,0.253,0.33,0.135,0.282
23544,0.109,0.29,0.387,0.214
23545,0.283,0.175,0.141,0.401
23546,0.133,0.263,0.37,0.234
23547,0.229,0.387,0.124,0.26
23548,0.347,0.178,0.131,0.344
23549,0.24,0.16,0.254,0.346
23550,0.166,0.219,0.269,0.346
23551,0.241,0.271,0.306,0.182
23552,0.132,0.378,0.338,0.152
23553,0.106,0.562,0.107,0.225
23554,0.353,0.312,0.114,0.221
23555,0.102,0.348,0.314,0.236
23556,0.351,0.16,0.149,0.34
23557,0.102,0.116,0.502,0.28
23558,0.177,0.16,0.422,0.241
23559,0.224,0.117,0.31,0.349
23560,0.138,0.126,0.35,0.386
23561,0.335,0.215,0.27,0.18
23562,0.337,0.141,0.092,0.43
23563,0.198,0.449,0.151,0.202
23564,0.102,0.335,0.305,0.258
23565,0.08,0.102,0.561,0.257
23566,0.544,0.104,0.091,0.261
23567,0.118,0.538,0.119,0.225
23568,0.163,0.396,0.058,0.383
23569,0.635,0.084,0.109,0.172
23570,0.14,0.602,0.117,0.141
23571,0.104,0.095,0.182,0.619
23572,0.113,0.562,0.082,0.243
23573,0.118,0.094,0.139,0.649
23574,0.11,0.51,0.143,0.237
23575,0.089,0.138,0.189,0.584
23576,0.111,0.132,0.141,0.616
23577,0.588,0.108,0.098,0.206
23578,0.169,0.122,0.092,0.617
23579,0.098,0.416,0.077,0.409
23580,0.196,0.366,0.145,0.293
23581,0.204,0.185,0.268,0.343
23582,0.121,0.267,0.388,0.224
23583,0.37,0.144,0.179,0.307
23584,0.432,0.143,0.13,0.295
23585,0.352,0.178,0.167,0.303
23586,0.216,0.293,0.183,0.308
23587,0.158,0.166,0.298,0.378
23588,0.137,0.149,0.326,0.388
23589,0.429,0.109,0.116,0.346
23590,0.284,0.17,0.163,0.383
23591,0.436,0.142,0.147,0.275
23592,0.36,0.146,0.089,0.405
23593,0.127,0.411,0.142,0.32
23594,0.381,0.121,0.249,0.249
23595,0.182,0.137,0.411,0.27
23596,0.166,0.273,0.211,0.35
23597,0.214,0.164,0.207,0.415
23598,0.331,0.135,0.144,0.39
23599,0.123,0.41,0.282,0.185
23600,0.309,0.323,0.166,0.202
23601,0.244,0.245,0.345,0.166
23602,0.239,0.38,0.23,0.151
23603,0.111,0.319,0.338,0.232
23604,0.418,0.26,0.153,0.169
23605,0.252,0.201,0.201,0.346
23606,0.191,0.356,0.145,0.308
23607,0.21,0.331,0.164,0.295
23608,0.382,0.139,0.233,0.246
23609,0.217,0.24,0.359,0.184
23610,0.216,0.476,0.125,0.183
23611,0.164,0.127,0.501,0.208
23612,0.209,0.164,0.252,0.375
23613,0.198,0.331,0.29,0.181
23614,0.302,0.403,0.146,0.149
23615,0.168,0.33,0.119,0.383
23616,0.34,0.128,0.234,0.298
23617,0.122,0.543,0.121,0.214
23618,0.315,0.099,0.194,0.392
23619,0.216,0.257,0.249,0.278
23620,0.208,0.198,0.141,0.453
23621,0.221,0.245,0.122,0.412
23622,0.144,0.295,0.092,0.469
23623,0.119,0.243,0.149,0.489
23624,0.112,0.532,0.129,0.227
23625,0.149,0.177,0.182,0.492
23626,0.207,0.334,0.121,0.338
23627,0.238,0.088,0.318,0.356
23628,0.257,0.142,0.141,0.46
23629,0.178,0.235,0.14,0.447
23630,0.343,0.284,0.083,0.29
23631,0.088,0.194,0.369,0.349
23632,0.211,0.121,0.238,0.43
23633,0.109,0.416,0.207,0.268
23634,0.566,0.1,0.092,0.242
23635,0.106,0.301,0.147,0.446
23636,0.101,0.372,0.255,0.272
23637,0.251,0.345,0.12,0.284
23638,0.515,0.125,0.147,0.213
23639,0.212,0.15,0.418,0.22
23640,0.174,0.139,0.403,0.284
23641,0.11,0.294,0.184,0.412
23642,0.135,0.118,0.382,0.365
23643,0.303,0.405,0.106,0.186
23644,0.151,0.296,0.147,0.406
23645,0.135,0.252,0.131,0.482
23646,0.14,0.299,0.159,0.402
23647,0.16,0.481,0.104,0.255
23648,0.254,0.341,0.089,0.316
23649,0.216,0.228,0.166,0.39
23650,0.13,0.216,0.134,0.52
23651,0.102,0.468,0.116,0.314
23652,0.07,0.127,0.563,0.24
23653,0.085,0.102,0.494,0.319
23654,0.12,0.132,0.444,0.304
23655,0.204,0.41,0.109,0.277
23656,0.222,0.207,0.214,0.357
23657,0.334,0.186,0.14,0.34
23658,0.218,0.168,0.283,0.331
23659,0.346,0.2,0.13,0.324
23660,0.184,0.183,0.168,0.465
23661,0.177,0.162,0.162,0.499
23662,0.162,0.261,0.157,0.42
23663,0.189,0.185,0.184,0.442
23664,0.126,0.281,0.148,0.445
23665,0.211,0.198,0.115,0.476
23666,0.281,0.137,0.174,0.408
23667,0.193,0.134,0.351,0.322
23668,0.304,0.168,0.178,0.35
23669,0.186,0.318,0.125,0.371
23670,0.121,0.14,0.411,0.328
23671,0.129,0.28,0.275,0.316
23672,0.21,0.137,0.261,0.392
23673,0.341,0.253,0.115,0.291
23674,0.069,0.217,0.417,0.297
23675,0.123,0.509,0.155,0.213
23676,0.36,0.161,0.155,0.324
23677,0.157,0.387,0.237,0.219
23678,0.449,0.142,0.131,0.278
23679,0.45,0.153,0.251,0.146
23680,0.086,0.31,0.358,0.246
23681,0.271,0.229,0.336,0.164
23682,0.252,0.225,0.337,0.186
23683,0.285,0.127,0.343,0.245
23684,0.336,0.324,0.148,0.192
23685,0.222,0.378,0.243,0.157
23686,0.118,0.285,0.27,0.327
23687,0.294,0.158,0.225,0.323
23688,0.203,0.189,0.228,0.38
23689,0.11,0.362,0.331,0.197
23690,0.234,0.34,0.105,0.321
23691,0.108,0.163,0.464,0.265
23692,0.108,0.488,0.139,0.265
23693,0.1,0.398,0.294,0.208
23694,0.151,0.402,0.183,0.264
23695,0.095,0.275,0.304,0.326
23696,0.671,0.144,0.065,0.12
23697,0.39,0.12,0.18,0.31
23698,0.329,0.234,0.122,0.315
23699,0.107,0.506,0.099,0.288
23700,0.399,0.121,0.222,0.258
23701,0.139,0.386,0.274,0.201
23702,0.164,0.257,0.397,0.182
23703,0.213,0.356,0.196,0.235
23704,0.117,0.141,0.444,0.298
23705,0.147,0.37,0.244,0.239
23706,0.501,0.081,0.161,0.257
23707,0.264,0.469,0.082,0.185
23708,0.281,0.427,0.162,0.13
23709,0.1,0.3,0.114,0.486
23710,0.485,0.114,0.089,0.312
23711,0.15,0.347,0.36,0.143
23712,0.248,0.09,0.392,0.27
23713,0.185,0.188,0.367,0.26
23714,0.158,0.108,0.487,0.247
23715,0.201,0.102,0.48,0.217
23716,0.437,0.189,0.148,0.226
23717,0.169,0.431,0.106,0.294
23718,0.101,0.134,0.505,0.26
23719,0.284,0.319,0.1,0.297
23720,0.105,0.2,0.453,0.242
23721,0.537,0.133,0.198,0.132
23722,0.124,0.241,0.305,0.33
23723,0.115,0.353,0.26,0.272
23724,0.233,0.339,0.098,0.33
23725,0.161,0.114,0.533,0.192
23726,0.208,0.315,0.213,0.264
23727,0.288,0.126,0.244,0.342
23728,0.254,0.202,0.154,0.39
23729,0.103,0.535,0.113,0.249
23730,0.121,0.372,0.194,0.313
23731,0.161,0.25,0.202,0.387
23732,0.268,0.226,0.111,0.395
23733,0.394,0.254,0.118,0.234
23734,0.135,0.127,0.307,0.431
23735,0.373,0.115,0.123,0.389
23736,0.113,0.167,0.283,0.437
23737,0.209,0.488,0.103,0.2
23738,0.344,0.114,0.138,0.404
23739,0.141,0.138,0.198,0.523
23740,0.146,0.093,0.481,0.28
23741,0.094,0.161,0.402,0.343
23742,0.122,0.149,0.173,0.556
23743,0.161,0.512,0.103,0.224
23744,0.096,0.563,0.119,0.222
23745,0.377,0.163,0.128,0.332
23746,0.445,0.2,0.127,0.228
23747,0.154,0.221,0.375,0.25
23748,0.156,0.358,0.128,0.358
23749,0.381,0.184,0.149,0.286
23750,0.199,0.276,0.328,0.197
23751,0.146,0.239,0.378,0.237
23752,0.228,0.362,0.132,0.278
23753,0.301,0.19,0.164,0.345
23754,0.202,0.294,0.215,0.289
23755,0.435,0.165,0.184,0.216
23756,0.192,0.287,0.188,0.333
23757,0.197,0.466,0.101,0.236
23758,0.317,0.155,0.151,0.377
23759,0.146,0.197,0.348,0.309
23760,0.218,0.139,0.438,0.205
23761,0.169,0.163,0.357,0.311
23762,0.344,0.164,0.178,0.314
23763,0.403,0.183,0.123,0.291
23764,0.311,0.194,0.173,0.322
23765,0.138,0.163,0.321,0.378
23766,0.17,0.114,0.477,0.239
23767,0.311,0.265,0.142,0.282
23768,0.178,0.202,0.22,0.4
23769,0.154,0.182,0.301,0.363
23770,0.194,0.139,0.389,0.278
23771,0.116,0.393,0.143,0.348
23772,0.16,0.308,0.16,0.372
23773,0.107,0.192,0.483,0.218
23774,0.158,0.242,0.179,0.421
23775,0.292,0.16,0.122,0.426
23776,0.261,0.165,0.23,0.344
23777,0.335,0.279,0.222,0.164
23778,0.135,0.36,0.123,0.382
23779,0.419,0.22,0.121,0.24
23780,0.294,0.283,0.121,0.302
23781,0.38,0.144,0.126,0.35
23782,0.124,0.271,0.309,0.296
23783,0.139,0.132,0.377,0.352
23784,0.114,0.11,0.416,0.36
23785,0.374,0.227,0.119,0.28
23786,0.249,0.297,0.14,0.314
23787,0.492,0.153,0.132,0.223
