No,Ch1,Ch2,Ch3,Ch4,Result,ANS,Accuracy
17702,0.139,0.161,0.319,0.381,Ch4,Ch3,0
17703,0.141,0.225,0.312,0.322,Ch4,Ch1,0
17704,0.124,0.375,0.138,0.363,Ch2,Ch2,1
17705,0.13,0.359,0.115,0.396,Ch4,Ch2,0
17706,0.127,0.143,0.358,0.372,Ch4,Ch3,0
17707,0.157,0.136,0.352,0.355,Ch4,Ch2,0
17708,0.149,0.488,0.113,0.25,Ch2,Ch1,0
17709,0.317,0.149,0.292,0.242,Ch1,Ch3,0
17710,0.151,0.176,0.171,0.502,Ch4,Ch4,1
17711,0.219,0.203,0.14,0.438,Ch4,Ch4,1
17712,0.102,0.415,0.143,0.34,Ch2,Ch4,0
17713,0.154,0.272,0.398,0.176,Ch3,Ch4,0
17714,0.265,0.219,0.149,0.367,Ch4,Ch2,0
17715,0.124,0.21,0.133,0.533,Ch4,Ch4,1
17716,0.334,0.155,0.155,0.356,Ch4,Ch1,0
17717,0.161,0.414,0.219,0.206,Ch2,Ch3,0
17718,0.098,0.44,0.147,0.315,Ch2,Ch4,0
17719,0.234,0.149,0.128,0.489,Ch4,Ch4,1
17720,0.364,0.154,0.131,0.351,Ch1,Ch1,1
17721,0.124,0.431,0.103,0.342,Ch2,Ch4,0
17722,0.503,0.134,0.148,0.215,Ch1,Ch1,1
17723,0.135,0.553,0.084,0.228,Ch2,Ch2,1
17724,0.116,0.285,0.287,0.312,Ch4,Ch3,0
17725,0.345,0.141,0.149,0.365,Ch4,Ch4,1
17726,0.274,0.144,0.143,0.439,Ch4,Ch1,0
17727,0.105,0.286,0.443,0.166,Ch3,Ch3,1
17728,0.146,0.393,0.157,0.304,Ch2,Ch2,1
17729,0.139,0.369,0.187,0.305,Ch2,Ch4,0
17730,0.156,0.144,0.459,0.241,Ch3,Ch4,0
17731,0.235,0.17,0.332,0.263,Ch3,Ch1,0
17732,0.329,0.189,0.152,0.33,Ch4,Ch1,0
17733,0.159,0.163,0.333,0.345,Ch4,Ch4,1
17734,0.177,0.338,0.152,0.333,Ch2,Ch4,0
17735,0.415,0.145,0.134,0.306,Ch1,Ch4,0
17736,0.159,0.482,0.091,0.268,Ch2,Ch2,1
17737,0.129,0.163,0.278,0.43,Ch4,Ch4,1
17738,0.435,0.198,0.124,0.243,Ch1,Ch4,0
17739,0.131,0.505,0.186,0.178,Ch2,Ch2,1
17740,0.152,0.126,0.255,0.467,Ch4,Ch4,1
17741,0.1,0.268,0.129,0.503,Ch4,Ch4,1
17742,0.21,0.145,0.146,0.499,Ch4,Ch4,1
17743,0.196,0.5,0.084,0.22,Ch2,Ch1,0
17744,0.148,0.115,0.462,0.275,Ch3,Ch4,0
17745,0.107,0.247,0.114,0.532,Ch4,Ch4,1
17746,0.133,0.524,0.097,0.246,Ch2,Ch2,1
17747,0.173,0.247,0.358,0.222,Ch3,Ch4,0
17748,0.295,0.192,0.235,0.278,Ch1,Ch4,0
17749,0.354,0.152,0.177,0.317,Ch1,Ch4,0
17750,0.129,0.297,0.34,0.234,Ch3,Ch4,0
17751,0.129,0.435,0.134,0.302,Ch2,Ch4,0
17752,0.244,0.163,0.184,0.409,Ch4,Ch4,1
17753,0.171,0.443,0.132,0.254,Ch2,Ch1,0
17754,0.158,0.393,0.135,0.314,Ch2,Ch4,0
17755,0.169,0.154,0.45,0.227,Ch3,Ch4,0
17756,0.159,0.144,0.212,0.485,Ch4,Ch4,1
17757,0.109,0.455,0.136,0.3,Ch2,Ch3,0
17758,0.14,0.427,0.229,0.204,Ch2,Ch4,0
17759,0.361,0.148,0.185,0.306,Ch1,Ch4,0
17760,0.12,0.152,0.377,0.351,Ch3,Ch4,0
17761,0.203,0.141,0.297,0.359,Ch4,Ch4,1
17762,0.112,0.245,0.264,0.379,Ch4,Ch4,1
17763,0.159,0.404,0.105,0.332,Ch2,Ch4,0
17764,0.42,0.152,0.147,0.281,Ch1,Ch1,1
17765,0.109,0.299,0.281,0.311,Ch4,Ch4,1
17766,0.073,0.328,0.319,0.28,Ch2,Ch4,0
17767,0.121,0.167,0.235,0.477,Ch4,Ch2,0
17768,0.094,0.164,0.326,0.416,Ch4,Ch3,0
17769,0.096,0.264,0.373,0.267,Ch3,Ch3,1
17770,0.299,0.229,0.096,0.376,Ch4,Ch1,0
17771,0.075,0.217,0.407,0.301,Ch3,Ch3,1
17772,0.103,0.244,0.115,0.538,Ch4,Ch4,1
17773,0.302,0.09,0.108,0.5,Ch4,Ch4,1
17774,0.565,0.086,0.119,0.23,Ch1,Ch1,1
17775,0.131,0.151,0.192,0.526,Ch4,Ch4,1
17776,0.444,0.116,0.211,0.229,Ch1,Ch1,1
17777,0.25,0.286,0.102,0.362,Ch4,Ch4,1
17778,0.273,0.131,0.169,0.427,Ch4,Ch4,1
17779,0.542,0.164,0.111,0.183,Ch1,Ch1,1
17780,0.106,0.087,0.497,0.31,Ch3,Ch3,1
17781,0.399,0.126,0.286,0.189,Ch1,Ch4,0
17782,0.071,0.464,0.107,0.358,Ch2,Ch2,1
17783,0.323,0.266,0.078,0.333,Ch4,Ch2,0
17784,0.225,0.104,0.414,0.257,Ch3,Ch3,1
17785,0.135,0.363,0.089,0.413,Ch4,Ch4,1
17786,0.553,0.139,0.119,0.189,Ch1,Ch4,0
17787,0.114,0.207,0.107,0.572,Ch4,Ch4,1
17788,0.102,0.249,0.412,0.237,Ch3,Ch4,0
17789,0.424,0.099,0.117,0.36,Ch1,Ch4,0
17790,0.149,0.098,0.097,0.656,Ch4,Ch4,1
17791,0.086,0.122,0.586,0.206,Ch3,Ch3,1
17792,0.276,0.428,0.091,0.205,Ch2,Ch1,0
17793,0.132,0.095,0.106,0.667,Ch4,Ch4,1
17794,0.107,0.225,0.13,0.538,Ch4,Ch4,1
17795,0.108,0.589,0.099,0.204,Ch2,Ch1,0
17796,0.188,0.103,0.084,0.625,Ch4,Ch2,0
17797,0.124,0.125,0.129,0.622,Ch4,Ch4,1
17798,0.55,0.156,0.108,0.186,Ch1,Ch2,0
17799,0.414,0.126,0.101,0.359,Ch1,Ch4,0
17800,0.097,0.194,0.299,0.41,Ch4,Ch2,0
17801,0.111,0.11,0.127,0.652,Ch4,Ch3,0
17802,0.12,0.103,0.155,0.622,Ch4,Ch1,0
17803,0.34,0.113,0.078,0.469,Ch4,Ch1,0
17804,0.167,0.205,0.278,0.35,Ch4,Ch3,0
17805,0.154,0.453,0.115,0.278,Ch2,Ch2,1
17806,0.26,0.333,0.153,0.254,Ch2,Ch2,1
17807,0.308,0.155,0.213,0.324,Ch4,Ch1,0
17808,0.171,0.242,0.371,0.216,Ch3,Ch3,1
17809,0.247,0.178,0.22,0.355,Ch4,Ch4,1
17810,0.388,0.139,0.145,0.328,Ch1,Ch4,0
17811,0.237,0.346,0.129,0.288,Ch2,Ch4,0
17812,0.263,0.238,0.22,0.279,Ch4,Ch3,0
17813,0.133,0.387,0.22,0.26,Ch2,Ch2,1
17814,0.397,0.121,0.137,0.345,Ch1,Ch1,1
17815,0.206,0.335,0.178,0.281,Ch2,Ch4,0
17816,0.099,0.391,0.277,0.233,Ch2,Ch3,0
17817,0.32,0.18,0.158,0.342,Ch4,Ch4,1
17818,0.401,0.116,0.127,0.356,Ch1,Ch4,0
17819,0.354,0.205,0.123,0.318,Ch1,Ch4,0
17820,0.183,0.196,0.227,0.394,Ch4,Ch4,1
17821,0.161,0.332,0.14,0.367,Ch4,Ch4,1
17822,0.2,0.154,0.249,0.397,Ch4,Ch4,1
17823,0.169,0.144,0.128,0.559,Ch4,Ch4,1
17824,0.275,0.109,0.135,0.481,Ch4,Ch3,0
17825,0.197,0.092,0.518,0.193,Ch3,Ch1,0
17826,0.131,0.191,0.117,0.561,Ch4,Ch4,1
17827,0.183,0.17,0.407,0.24,Ch3,Ch1,0
17828,0.129,0.109,0.188,0.574,Ch4,Ch4,1
17829,0.079,0.15,0.498,0.273,Ch3,Ch3,1
17830,0.167,0.258,0.086,0.489,Ch4,Ch2,0
17831,0.176,0.169,0.359,0.296,Ch3,Ch2,0
17832,0.086,0.251,0.434,0.229,Ch3,Ch3,1
17833,0.135,0.165,0.265,0.435,Ch4,Ch3,0
17834,0.255,0.155,0.103,0.487,Ch4,Ch1,0
17835,0.125,0.148,0.123,0.604,Ch4,Ch4,1
17836,0.243,0.095,0.369,0.293,Ch3,Ch1,0
17837,0.102,0.162,0.097,0.639,Ch4,Ch4,1
17838,0.371,0.095,0.128,0.406,Ch4,Ch3,0
17839,0.428,0.159,0.162,0.251,Ch1,Ch1,1
17840,0.133,0.095,0.522,0.25,Ch3,Ch3,1
17841,0.092,0.26,0.129,0.519,Ch4,Ch2,0
17842,0.165,0.175,0.181,0.479,Ch4,Ch1,0
17843,0.178,0.406,0.127,0.289,Ch2,Ch2,1
17844,0.355,0.135,0.208,0.302,Ch1,Ch1,1
17845,0.259,0.159,0.155,0.427,Ch4,Ch1,0
17846,0.425,0.176,0.13,0.269,Ch1,Ch1,1
17847,0.14,0.176,0.161,0.523,Ch4,Ch1,0
17848,0.219,0.129,0.259,0.393,Ch4,Ch3,0
17849,0.167,0.123,0.361,0.349,Ch3,Ch3,1
17850,0.109,0.36,0.331,0.2,Ch2,Ch3,0
17851,0.146,0.178,0.163,0.513,Ch4,Ch4,1
17852,0.138,0.306,0.131,0.425,Ch4,Ch4,1
17853,0.19,0.187,0.146,0.477,Ch4,Ch4,1
17854,0.175,0.128,0.177,0.52,Ch4,Ch3,0
17855,0.194,0.415,0.105,0.286,Ch2,Ch2,1
17856,0.179,0.137,0.153,0.531,Ch4,Ch4,1
17857,0.141,0.321,0.211,0.327,Ch4,Ch2,0
17858,0.169,0.192,0.16,0.479,Ch4,Ch4,1
17859,0.142,0.401,0.12,0.337,Ch2,Ch2,1
17860,0.169,0.175,0.149,0.507,Ch4,Ch2,0
17861,0.314,0.181,0.126,0.379,Ch4,Ch1,0
17862,0.136,0.238,0.162,0.464,Ch4,Ch4,1
17863,0.117,0.162,0.385,0.336,Ch3,Ch3,1
17864,0.416,0.169,0.153,0.262,Ch1,Ch1,1
17865,0.096,0.3,0.424,0.18,Ch3,Ch3,1
17866,0.146,0.233,0.145,0.476,Ch4,Ch4,1
17867,0.154,0.143,0.196,0.507,Ch4,Ch4,1
17868,0.197,0.14,0.197,0.466,Ch4,Ch4,1
17869,0.196,0.158,0.167,0.479,Ch4,Ch4,1
17870,0.147,0.137,0.344,0.372,Ch4,Ch3,0
17871,0.148,0.187,0.16,0.505,Ch4,Ch4,1
17872,0.152,0.202,0.146,0.5,Ch4,Ch4,1
17873,0.152,0.195,0.176,0.477,Ch4,Ch4,1
17874,0.12,0.163,0.308,0.409,Ch4,Ch3,0
17875,0.256,0.156,0.277,0.311,Ch4,Ch4,1
17876,0.166,0.453,0.144,0.237,Ch2,Ch2,1
17877,0.23,0.142,0.4,0.228,Ch3,Ch1,0
17878,0.112,0.342,0.135,0.411,Ch4,Ch4,1
17879,0.133,0.446,0.127,0.294,Ch2,Ch2,1
17880,0.34,0.081,0.207,0.372,Ch4,Ch4,1
17881,0.29,0.351,0.084,0.275,Ch2,Ch2,1
17882,0.084,0.284,0.292,0.34,Ch4,Ch2,0
17883,0.239,0.246,0.088,0.427,Ch4,Ch2,0
17884,0.203,0.146,0.17,0.481,Ch4,Ch2,0
17885,0.231,0.09,0.248,0.431,Ch4,Ch4,1
17886,0.107,0.112,0.177,0.604,Ch4,Ch4,1
17887,0.147,0.229,0.094,0.53,Ch4,Ch4,1
17888,0.053,0.526,0.17,0.251,Ch2,Ch4,0
17889,0.083,0.087,0.279,0.551,Ch4,Ch3,0
17890,0.076,0.361,0.324,0.239,Ch2,Ch3,0
17891,0.408,0.084,0.239,0.269,Ch1,Ch3,0
17892,0.24,0.243,0.184,0.333,Ch4,Ch4,1
17893,0.162,0.323,0.095,0.42,Ch4,Ch2,0
17894,0.121,0.084,0.38,0.415,Ch4,Ch3,0
17895,0.246,0.21,0.176,0.368,Ch4,Ch4,1
17896,0.077,0.172,0.379,0.372,Ch3,Ch2,0
17897,0.076,0.372,0.267,0.285,Ch2,Ch4,0
17898,0.203,0.119,0.142,0.536,Ch4,Ch4,1
17899,0.258,0.559,0.094,0.089,Ch2,Ch2,1
17900,0.148,0.508,0.07,0.274,Ch2,Ch4,0
17901,0.104,0.34,0.264,0.292,Ch2,Ch3,0
17902,0.205,0.268,0.296,0.231,Ch3,Ch1,0
17903,0.064,0.713,0.062,0.161,Ch2,Ch2,1
17904,0.073,0.073,0.407,0.447,Ch4,Ch3,0
17905,0.112,0.277,0.296,0.315,Ch4,Ch2,0
17906,0.08,0.331,0.08,0.509,Ch4,Ch4,1
17907,0.394,0.097,0.072,0.437,Ch4,Ch1,0
17908,0.064,0.142,0.145,0.649,Ch4,Ch3,0
17909,0.074,0.269,0.472,0.185,Ch3,Ch3,1
17910,0.043,0.46,0.055,0.442,Ch2,Ch2,1
17911,0.311,0.082,0.307,0.3,Ch1,Ch4,0
17912,0.7,0.064,0.06,0.176,Ch1,Ch1,1
17913,0.059,0.565,0.059,0.317,Ch2,Ch2,1
17914,0.06,0.084,0.641,0.215,Ch3,Ch3,1
17915,0.08,0.073,0.711,0.136,Ch3,Ch1,0
17916,0.344,0.075,0.076,0.505,Ch4,Ch4,1
17917,0.082,0.411,0.06,0.447,Ch4,Ch2,0
17918,0.232,0.105,0.349,0.314,Ch3,Ch3,1
17919,0.231,0.201,0.283,0.285,Ch4,Ch3,0
17920,0.205,0.266,0.319,0.21,Ch3,Ch3,1
17921,0.114,0.399,0.203,0.284,Ch2,Ch2,1
17922,0.128,0.233,0.243,0.396,Ch4,Ch4,1
17923,0.159,0.202,0.335,0.304,Ch3,Ch3,1
17924,0.372,0.15,0.104,0.374,Ch4,Ch4,1
17925,0.284,0.196,0.267,0.253,Ch1,Ch1,1
17926,0.192,0.135,0.242,0.431,Ch4,Ch4,1
17927,0.256,0.358,0.103,0.283,Ch2,Ch4,0
17928,0.324,0.231,0.143,0.302,Ch1,Ch1,1
17929,0.263,0.312,0.133,0.292,Ch2,Ch2,1
17930,0.133,0.285,0.228,0.354,Ch4,Ch4,1
17931,0.108,0.139,0.397,0.356,Ch3,Ch4,0
17932,0.267,0.11,0.388,0.235,Ch3,Ch1,0
17933,0.347,0.107,0.148,0.398,Ch4,Ch4,1
17934,0.243,0.167,0.159,0.431,Ch4,Ch4,1
17935,0.128,0.37,0.115,0.387,Ch4,Ch4,1
17936,0.149,0.169,0.274,0.408,Ch4,Ch4,1
17937,0.127,0.141,0.257,0.475,Ch4,Ch2,0
17938,0.127,0.212,0.309,0.352,Ch4,Ch3,0
17939,0.233,0.147,0.199,0.421,Ch4,Ch2,0
17940,0.379,0.34,0.085,0.196,Ch1,Ch2,0
17941,0.11,0.294,0.347,0.249,Ch3,Ch2,0
17942,0.261,0.229,0.167,0.343,Ch4,Ch3,0
17943,0.16,0.164,0.258,0.418,Ch4,Ch2,0
17944,0.29,0.14,0.116,0.454,Ch4,Ch2,0
17945,0.221,0.12,0.335,0.324,Ch3,Ch2,0
17946,0.13,0.107,0.242,0.521,Ch4,Ch2,0
17947,0.283,0.124,0.136,0.457,Ch4,Ch2,0
17948,0.167,0.138,0.226,0.469,Ch4,Ch2,0
17949,0.129,0.447,0.228,0.196,Ch2,Ch1,0
17950,0.236,0.467,0.096,0.201,Ch2,Ch1,0
17951,0.306,0.109,0.122,0.463,Ch4,Ch2,0
17952,0.108,0.526,0.091,0.275,Ch2,Ch2,1
17953,0.16,0.353,0.085,0.402,Ch4,Ch2,0
17954,0.103,0.178,0.318,0.401,Ch4,Ch2,0
17955,0.225,0.129,0.261,0.385,Ch4,Ch3,0
17956,0.13,0.176,0.142,0.552,Ch4,Ch3,0
17957,0.362,0.214,0.121,0.303,Ch1,Ch1,1
17958,0.139,0.466,0.084,0.311,Ch2,Ch2,1
17959,0.187,0.115,0.166,0.532,Ch4,Ch3,0
17960,0.266,0.125,0.16,0.449,Ch4,Ch2,0
17961,0.172,0.156,0.177,0.495,Ch4,Ch3,0
17962,0.133,0.45,0.169,0.248,Ch2,Ch2,1
17963,0.228,0.147,0.131,0.494,Ch4,Ch1,0
17964,0.204,0.127,0.138,0.531,Ch4,Ch4,1
17965,0.163,0.105,0.173,0.559,Ch4,Ch3,0
17966,0.147,0.217,0.167,0.469,Ch4,Ch2,0
17967,0.182,0.143,0.146,0.529,Ch4,Ch1,0
17968,0.122,0.154,0.459,0.265,Ch3,Ch3,1
17969,0.105,0.516,0.13,0.249,Ch2,Ch2,1
17970,0.1,0.171,0.212,0.517,Ch4,Ch3,0
17971,0.152,0.189,0.403,0.256,Ch3,Ch3,1
17972,0.491,0.136,0.139,0.234,Ch1,Ch1,1
17973,0.184,0.143,0.144,0.529,Ch4,Ch2,0
17974,0.478,0.123,0.131,0.268,Ch1,Ch1,1
17975,0.536,0.114,0.115,0.235,Ch1,Ch1,1
17976,0.311,0.145,0.131,0.413,Ch4,Ch1,0
17977,0.097,0.124,0.314,0.465,Ch4,Ch3,0
17978,0.339,0.354,0.09,0.217,Ch2,Ch2,1
17979,0.278,0.123,0.11,0.489,Ch4,Ch1,0
17980,0.545,0.109,0.083,0.263,Ch1,Ch1,1
17981,0.189,0.108,0.252,0.451,Ch4,Ch1,0
17982,0.086,0.22,0.376,0.318,Ch3,Ch2,0
17983,0.09,0.434,0.207,0.269,Ch2,Ch3,0
17984,0.103,0.179,0.32,0.398,Ch4,Ch2,0
17985,0.25,0.131,0.134,0.485,Ch4,Ch2,0
17986,0.336,0.157,0.102,0.405,Ch4,Ch1,0
17987,0.063,0.485,0.104,0.348,Ch2,Ch2,1
17988,0.178,0.388,0.087,0.347,Ch2,Ch2,1
17989,0.393,0.094,0.093,0.42,Ch4,Ch1,0
17990,0.093,0.449,0.105,0.353,Ch2,Ch2,1
17991,0.091,0.121,0.318,0.47,Ch4,Ch3,0
17992,0.415,0.086,0.305,0.194,Ch1,Ch1,1
17993,0.121,0.125,0.184,0.57,Ch4,Ch3,0
17994,0.082,0.443,0.208,0.267,Ch2,Ch2,1
17995,0.607,0.08,0.088,0.225,Ch1,Ch1,1
17996,0.105,0.536,0.074,0.285,Ch2,Ch2,1
17997,0.155,0.082,0.489,0.274,Ch3,Ch1,0
17998,0.361,0.106,0.14,0.393,Ch4,Ch1,0
17999,0.083,0.099,0.346,0.472,Ch4,Ch3,0
18000,0.063,0.203,0.573,0.161,Ch3,Ch3,1
18001,0.1,0.439,0.125,0.336,Ch2,Ch2,1
18002,0.059,0.21,0.432,0.299,Ch3,Ch3,1
18003,0.274,0.098,0.414,0.214,Ch3,Ch3,1
18004,0.278,0.142,0.1,0.48,Ch4,Ch1,0
18005,0.077,0.271,0.147,0.505,Ch4,Ch3,0
18006,0.075,0.293,0.113,0.519,Ch4,Ch3,0
18007,0.237,0.074,0.231,0.458,Ch4,Ch3,0
18008,0.413,0.366,0.078,0.143,Ch1,Ch1,1
18009,0.09,0.092,0.324,0.494,Ch4,Ch4,1
18010,0.078,0.208,0.45,0.264,Ch3,Ch3,1
18011,0.075,0.515,0.089,0.321,Ch2,Ch2,1
18012,0.262,0.276,0.084,0.378,Ch4,Ch2,0
18013,0.165,0.105,0.415,0.315,Ch3,Ch3,1
18014,0.094,0.139,0.602,0.165,Ch3,Ch2,0
18015,0.239,0.105,0.347,0.309,Ch3,Ch4,0
18016,0.157,0.103,0.496,0.244,Ch3,Ch4,0
18017,0.163,0.243,0.109,0.485,Ch4,Ch4,1
18018,0.324,0.34,0.144,0.192,Ch2,Ch1,0
18019,0.204,0.11,0.202,0.484,Ch4,Ch4,1
18020,0.132,0.197,0.511,0.16,Ch3,Ch4,0
18021,0.11,0.239,0.353,0.298,Ch3,Ch4,0
18022,0.111,0.243,0.222,0.424,Ch4,Ch4,1
18023,0.262,0.112,0.114,0.512,Ch4,Ch4,1
18024,0.103,0.59,0.098,0.209,Ch2,Ch4,0
18025,0.102,0.289,0.106,0.503,Ch4,Ch4,1
18026,0.133,0.106,0.596,0.165,Ch3,Ch4,0
18027,0.131,0.25,0.123,0.496,Ch4,Ch4,1
18028,0.123,0.09,0.449,0.338,Ch3,Ch4,0
18029,0.11,0.096,0.267,0.527,Ch4,Ch4,1
18030,0.328,0.104,0.419,0.149,Ch3,Ch4,0
18031,0.104,0.144,0.191,0.561,Ch4,Ch4,1
18032,0.119,0.14,0.124,0.617,Ch4,Ch4,1
18033,0.138,0.122,0.135,0.605,Ch4,Ch4,1
18034,0.207,0.071,0.335,0.387,Ch4,Ch3,0
18035,0.083,0.098,0.299,0.52,Ch4,Ch3,0
18036,0.109,0.135,0.093,0.663,Ch4,Ch4,1
18037,0.338,0.11,0.08,0.472,Ch4,Ch1,0
18038,0.138,0.103,0.133,0.626,Ch4,Ch4,1
18039,0.09,0.114,0.118,0.678,Ch4,Ch4,1
18040,0.404,0.104,0.131,0.361,Ch1,Ch1,1
18041,0.098,0.196,0.092,0.614,Ch4,Ch4,1
18042,0.438,0.096,0.08,0.386,Ch1,Ch1,1
18043,0.084,0.117,0.121,0.678,Ch4,Ch4,1
18044,0.397,0.081,0.109,0.413,Ch4,Ch1,0
18045,0.426,0.173,0.057,0.344,Ch1,Ch1,1
18046,0.108,0.138,0.133,0.621,Ch4,Ch4,1
18047,0.087,0.297,0.088,0.528,Ch4,Ch2,0
18048,0.094,0.101,0.124,0.681,Ch4,Ch4,1
18049,0.149,0.101,0.108,0.642,Ch4,Ch4,1
18050,0.08,0.382,0.089,0.449,Ch4,Ch2,0
18051,0.194,0.408,0.133,0.265,Ch2,Ch1,0
18052,0.165,0.514,0.18,0.141,Ch2,Ch3,0
18053,0.153,0.344,0.22,0.283,Ch2,Ch1,0
18054,0.178,0.336,0.174,0.312,Ch2,Ch1,0
18055,0.258,0.118,0.452,0.172,Ch3,Ch3,1
18056,0.125,0.168,0.344,0.363,Ch4,Ch1,0
18057,0.108,0.255,0.443,0.194,Ch3,Ch2,0
18058,0.182,0.331,0.118,0.369,Ch4,Ch1,0
18059,0.356,0.156,0.158,0.33,Ch1,Ch1,1
18060,0.161,0.479,0.194,0.166,Ch2,Ch3,0
18061,0.136,0.181,0.317,0.366,Ch4,Ch3,0
18062,0.183,0.113,0.492,0.212,Ch3,Ch3,1
18063,0.181,0.357,0.121,0.341,Ch2,Ch2,1
18064,0.152,0.138,0.444,0.266,Ch3,Ch3,1
18065,0.105,0.341,0.208,0.346,Ch4,Ch3,0
18066,0.103,0.142,0.424,0.331,Ch3,Ch3,1
18067,0.191,0.101,0.382,0.326,Ch3,Ch3,1
18068,0.093,0.206,0.488,0.213,Ch3,Ch3,1
18069,0.154,0.354,0.169,0.323,Ch2,Ch3,0
18070,0.126,0.125,0.342,0.407,Ch4,Ch4,1
18071,0.205,0.126,0.359,0.31,Ch3,Ch4,0
18072,0.192,0.103,0.176,0.529,Ch4,Ch3,0
18073,0.269,0.24,0.094,0.397,Ch4,Ch1,0
18074,0.135,0.436,0.093,0.336,Ch2,Ch4,0
18075,0.078,0.259,0.174,0.489,Ch4,Ch3,0
18076,0.153,0.11,0.338,0.399,Ch4,Ch3,0
18077,0.105,0.458,0.107,0.33,Ch2,Ch2,1
18078,0.162,0.18,0.28,0.378,Ch4,Ch2,0
18079,0.259,0.114,0.134,0.493,Ch4,Ch2,0
18080,0.094,0.112,0.386,0.408,Ch4,Ch1,0
18081,0.103,0.107,0.412,0.378,Ch3,Ch1,0
18082,0.278,0.131,0.114,0.477,Ch4,Ch4,1
18083,0.089,0.311,0.232,0.368,Ch4,Ch1,0
18084,0.191,0.263,0.105,0.441,Ch4,Ch2,0
18085,0.141,0.212,0.105,0.542,Ch4,Ch2,0
18086,0.087,0.215,0.356,0.342,Ch3,Ch3,1
18087,0.374,0.203,0.101,0.322,Ch1,Ch4,0
18088,0.25,0.098,0.115,0.537,Ch4,Ch2,0
18089,0.187,0.551,0.048,0.214,Ch2,Ch2,1
18090,0.12,0.138,0.426,0.316,Ch3,Ch4,0
18091,0.171,0.171,0.405,0.253,Ch3,Ch4,0
18092,0.166,0.227,0.09,0.517,Ch4,Ch4,1
18093,0.141,0.163,0.451,0.245,Ch3,Ch4,0
18094,0.164,0.456,0.085,0.295,Ch2,Ch4,0
18095,0.084,0.512,0.155,0.249,Ch2,Ch4,0
18096,0.116,0.167,0.382,0.335,Ch3,Ch4,0
18097,0.433,0.14,0.195,0.232,Ch1,Ch3,0
18098,0.091,0.39,0.175,0.344,Ch2,Ch4,0
18099,0.245,0.366,0.087,0.302,Ch2,Ch4,0
18100,0.12,0.101,0.138,0.641,Ch4,Ch4,1
18101,0.53,0.072,0.117,0.281,Ch1,Ch1,1
18102,0.082,0.268,0.45,0.2,Ch3,Ch3,1
18103,0.134,0.126,0.119,0.621,Ch4,Ch4,1
18104,0.405,0.147,0.195,0.253,Ch1,Ch3,0
18105,0.089,0.162,0.106,0.643,Ch4,Ch4,1
18106,0.149,0.091,0.442,0.318,Ch3,Ch4,0
18107,0.167,0.177,0.058,0.598,Ch4,Ch4,1
18108,0.356,0.205,0.168,0.271,Ch1,Ch2,0
18109,0.274,0.17,0.23,0.326,Ch4,Ch2,0
18110,0.334,0.245,0.161,0.26,Ch1,Ch3,0
18111,0.144,0.228,0.396,0.232,Ch3,Ch1,0
18112,0.331,0.23,0.186,0.253,Ch1,Ch2,0
18113,0.281,0.184,0.37,0.165,Ch3,Ch2,0
18114,0.171,0.206,0.337,0.286,Ch3,Ch2,0
18115,0.151,0.195,0.322,0.332,Ch4,Ch2,0
18116,0.135,0.19,0.361,0.314,Ch3,Ch2,0
18117,0.333,0.222,0.192,0.253,Ch1,Ch2,0
18118,0.193,0.25,0.157,0.4,Ch4,Ch2,0
18119,0.203,0.254,0.188,0.355,Ch4,Ch2,0
18120,0.154,0.21,0.215,0.421,Ch4,Ch2,0
18121,0.202,0.381,0.127,0.29,Ch2,Ch2,1
18122,0.192,0.258,0.193,0.357,Ch4,Ch2,0
18123,0.172,0.329,0.282,0.217,Ch2,Ch2,1
18124,0.179,0.261,0.373,0.187,Ch3,Ch2,0
18125,0.183,0.283,0.223,0.311,Ch4,Ch2,0
18126,0.27,0.219,0.193,0.318,Ch4,Ch2,0
18127,0.157,0.173,0.317,0.353,Ch4,Ch2,0
18128,0.153,0.244,0.217,0.386,Ch4,Ch2,0
18129,0.129,0.418,0.146,0.307,Ch2,Ch1,0
18130,0.165,0.348,0.157,0.33,Ch2,Ch1,0
18131,0.192,0.166,0.354,0.288,Ch3,Ch1,0
18132,0.146,0.33,0.151,0.373,Ch4,Ch3,0
18133,0.182,0.135,0.311,0.372,Ch4,Ch1,0
18134,0.312,0.174,0.163,0.351,Ch4,Ch2,0
18135,0.28,0.291,0.14,0.289,Ch2,Ch1,0
18136,0.135,0.153,0.345,0.367,Ch4,Ch1,0
18137,0.185,0.189,0.22,0.406,Ch4,Ch1,0
18138,0.17,0.247,0.285,0.298,Ch4,Ch2,0
18139,0.177,0.196,0.172,0.455,Ch4,Ch2,0
18140,0.306,0.155,0.226,0.313,Ch4,Ch2,0
18141,0.162,0.161,0.332,0.345,Ch4,Ch3,0
18142,0.138,0.261,0.341,0.26,Ch3,Ch1,0
18143,0.146,0.167,0.371,0.316,Ch3,Ch2,0
18144,0.334,0.149,0.163,0.354,Ch4,Ch2,0
18145,0.207,0.174,0.344,0.275,Ch3,Ch3,1
18146,0.236,0.205,0.183,0.376,Ch4,Ch4,1
18147,0.114,0.513,0.139,0.234,Ch2,Ch2,1
18148,0.102,0.26,0.331,0.307,Ch3,Ch3,1
18149,0.366,0.143,0.16,0.331,Ch1,Ch1,1
18150,0.187,0.237,0.154,0.422,Ch4,Ch2,0
18151,0.17,0.161,0.163,0.506,Ch4,Ch4,1
