Task,Ch1,Ch2,Ch3,Ch4,test,,Ch1,Ch2,Ch3,Ch4,,
12,0.176,0.658,0.044,0.122,Ch2,,0,1,0,0,Ch2,1
13,0.166,0.566,0.172,0.096,Ch2,,0,1,0,0,Ch2,1
14,0.444,0.248,0.152,0.156,Ch1,,1,0,0,0,Ch1,1
14,0.17,0.582,0.114,0.134,Ch2,,1,0,0,0,Ch1,0
16,0.174,0.526,0.134,0.166,Ch2,,0,1,0,0,Ch2,1
17,0.474,0.238,0.136,0.152,Ch1,,1,0,0,0,Ch1,1
2,0.112,0.058,0.08,0.75,Ch4,,0,1,0,0,Ch2,0
4,0.116,0.18,0.218,0.486,Ch4,,0,0,0,1,Ch4,1
7,0.144,0.192,0.14,0.524,Ch4,,0,0,0,1,Ch4,1
8,0.182,0.11,0.442,0.266,Ch3,,0,0,1,0,Ch3,1
8,0.324,0.06,0.028,0.588,Ch4,,0,0,1,0,Ch3,0
9,0.512,0.138,0.096,0.254,Ch1,,1,0,0,0,Ch1,1
11,0.116,0.148,0.162,0.574,Ch4,,0,0,0,1,Ch4,1
12,0.348,0.14,0.1,0.412,Ch4,,1,0,0,0,Ch1,0
13,0.13,0.13,0.35,0.39,Ch4,,0,0,1,0,Ch3,0
13,0.212,0.046,0.068,0.674,Ch4,,0,0,1,0,Ch3,0
14,0.116,0.17,0.088,0.626,Ch4,,0,0,0,1,Ch4,1
15,0.196,0.136,0.404,0.264,Ch3,,0,0,1,0,Ch3,1
18,0.246,0.162,0.12,0.472,Ch4,,0,0,0,1,Ch4,1
19,0.074,0.064,0.08,0.782,Ch4,,0,0,0,1,Ch4,1
3,0.192,0.514,0.126,0.168,Ch2,,0,1,0,0,Ch2,1
3,0.448,0.06,0.214,0.278,Ch1,,0,1,0,0,Ch2,0
4,0.198,0.264,0.284,0.254,Ch3,,0,0,1,0,Ch3,1
4,0.2,0.174,0.324,0.302,Ch3,,0,0,1,0,Ch3,1
5,0.176,0.124,0.344,0.356,Ch4,,0,0,1,0,Ch3,0
7,0.374,0.126,0.076,0.424,Ch4,,0,1,0,0,Ch2,0
8,0.208,0.176,0.122,0.494,Ch4,,0,0,0,1,Ch4,1
9,0.562,0.176,0.096,0.166,Ch1,,1,0,0,0,Ch1,1
11,0.062,0.114,0.132,0.692,Ch4,,0,0,0,1,Ch4,1
12,0.174,0.358,0.12,0.348,Ch2,,0,1,0,0,Ch2,1
12,0.238,0.3,0.07,0.392,Ch4,,0,1,0,0,Ch2,0
13,0.128,0.102,0.132,0.638,Ch4,,0,0,0,1,Ch4,1
13,0.204,0.12,0.108,0.568,Ch4,,0,0,0,1,Ch4,1
13,0.11,0.326,0.02,0.544,Ch4,,0,0,0,1,Ch4,1
14,0.14,0.494,0.128,0.238,Ch2,,0,1,0,0,Ch2,1
15,0.096,0.17,0.13,0.604,Ch4,,0,0,0,1,Ch4,1
15,0.136,0.136,0.092,0.636,Ch4,,0,0,0,1,Ch4,1
18,0.178,0.154,0.146,0.522,Ch4,,0,0,0,1,Ch4,1
18,0.214,0.246,0.034,0.506,Ch4,,0,0,0,1,Ch4,1
19,0.16,0.34,0.072,0.428,Ch4,,0,1,0,0,Ch2,0
2,0.128,0.236,0.16,0.476,Ch4,,0,0,0,1,Ch4,1
3,0.156,0.12,0.078,0.646,Ch4,,0,0,0,1,Ch4,1
5,0.146,0.144,0.13,0.58,Ch4,,0,0,0,1,Ch4,1
5,0.038,0.066,0.026,0.87,Ch4,,0,0,0,1,Ch4,1
6,0.118,0.118,0.068,0.696,Ch4,,0,0,0,1,Ch4,1
7,0.108,0.138,0.128,0.626,Ch4,,0,0,0,1,Ch4,1
9,0.13,0.246,0.132,0.492,Ch4,,0,0,0,1,Ch4,1
11,0.12,0.076,0.084,0.72,Ch4,,0,0,0,1,Ch4,1
11,0.134,0.174,0.248,0.444,Ch4,,0,0,0,1,Ch4,1
11,0.012,0.034,0.02,0.934,Ch4,,0,0,0,1,Ch4,1
13,0.094,0.084,0.09,0.732,Ch4,,0,0,0,1,Ch4,1
13,0.006,0.026,0.012,0.956,Ch4,,0,0,0,1,Ch4,1
15,0.134,0.098,0.096,0.672,Ch4,,0,0,0,1,Ch4,1
15,0.16,0.126,0.08,0.634,Ch4,,0,0,0,1,Ch4,1
17,0.062,0.136,0.112,0.69,Ch4,,0,0,0,1,Ch4,1
17,0.092,0.134,0.072,0.702,Ch4,,0,0,0,1,Ch4,1
19,0.17,0.14,0.088,0.602,Ch4,,0,0,0,1,Ch4,1
1,0.146,0.558,0.13,0.166,Ch2,,0,1,0,0,Ch2,1
3,0.384,0.242,0.16,0.214,Ch1,,1,0,0,0,Ch1,1
4,0.442,0.288,0.102,0.168,Ch1,,1,0,0,0,Ch1,1
7,0.186,0.536,0.124,0.154,Ch2,,0,1,0,0,Ch2,1
8,0.484,0.246,0.116,0.154,Ch1,,1,0,0,0,Ch1,1
9,0.22,0.508,0.096,0.176,Ch2,,0,1,0,0,Ch2,1
10,0.126,0.552,0.124,0.198,Ch2,,0,1,0,0,Ch2,1
11,0.202,0.514,0.104,0.18,Ch2,,0,1,0,0,Ch2,1
12,0.176,0.478,0.128,0.218,Ch2,,0,1,0,0,Ch2,1
13,0.168,0.594,0.06,0.178,Ch2,,0,1,0,0,Ch2,1
14,0.18,0.454,0.164,0.202,Ch2,,0,1,0,0,Ch2,1
15,0.242,0.246,0.326,0.186,Ch3,,0,0,1,0,Ch3,1
16,0.552,0.21,0.106,0.132,Ch1,,1,0,0,0,Ch1,1
16,0.322,0.336,0.17,0.172,Ch2,,1,0,0,0,Ch1,0
18,0.476,0.282,0.114,0.128,Ch1,,1,0,0,0,Ch1,1
3,0.38,0.554,0.048,0.018,Ch2,,1,0,0,0,Ch1,0
6,0.566,0.362,0.052,0.02,Ch1,,0,0,1,0,Ch3,0
7,0.594,0.264,0.096,0.046,Ch1,,1,0,0,0,Ch1,1
9,0.35,0.532,0.098,0.02,Ch2,,0,0,1,0,Ch3,0
10,0.368,0.252,0.34,0.04,Ch1,,0,0,1,0,Ch3,0
10,0.19,0.292,0.48,0.038,Ch3,,0,0,1,0,Ch3,1
11,0.32,0.482,0.144,0.054,Ch2,,0,1,0,0,Ch2,1
12,0.252,0.588,0.102,0.058,Ch2,,0,1,0,0,Ch2,1
13,0.584,0.248,0.116,0.052,Ch1,,1,0,0,0,Ch1,1
14,0.566,0.208,0.18,0.046,Ch1,,1,0,0,0,Ch1,1
14,0.564,0.348,0.064,0.024,Ch1,,1,0,0,0,Ch1,1
15,0.484,0.254,0.236,0.026,Ch1,,1,0,0,0,Ch1,1
17,0.468,0.344,0.162,0.026,Ch1,,0,1,0,0,Ch2,0
2,0.242,0.46,0.198,0.1,Ch2,,0,1,0,0,Ch2,1
3,0.408,0.254,0.208,0.13,Ch1,,1,0,0,0,Ch1,1
3,0.438,0.216,0.198,0.148,Ch1,,1,0,0,0,Ch1,1
4,0.346,0.236,0.316,0.102,Ch1,,0,0,1,0,Ch3,0
4,0.284,0.29,0.306,0.12,Ch3,,0,0,1,0,Ch3,1
4,0.292,0.32,0.262,0.126,Ch2,,0,0,1,0,Ch3,0
5,0.15,0.19,0.592,0.068,Ch3,,1,0,0,0,Ch1,0
6,0.206,0.198,0.48,0.116,Ch3,,0,0,1,0,Ch3,1
8,0.254,0.456,0.182,0.108,Ch2,,0,1,0,0,Ch2,1
9,0.21,0.284,0.436,0.07,Ch3,,1,0,0,0,Ch1,0
13,0.258,0.272,0.402,0.068,Ch3,,0,1,0,0,Ch2,0
14,0.18,0.228,0.47,0.122,Ch3,,0,0,1,0,Ch3,1
15,0.156,0.654,0.11,0.08,Ch2,,0,1,0,0,Ch2,1
17,0.492,0.218,0.132,0.158,Ch1,,1,0,0,0,Ch1,1
18,0.19,0.478,0.194,0.138,Ch2,,0,1,0,0,Ch2,1
19,0.228,0.272,0.334,0.166,Ch3,,0,0,1,0,Ch3,1
19,0.238,0.3,0.304,0.158,Ch3,,0,0,1,0,Ch3,1
19,0.224,0.3,0.332,0.144,Ch3,,0,0,1,0,Ch3,1
2,0.192,0.262,0.148,0.398,Ch4,,0,0,0,1,Ch4,1
4,0.166,0.268,0.268,0.298,Ch4,,0,1,0,0,Ch2,0
4,0.272,0.158,0.084,0.486,Ch4,,0,1,0,0,Ch2,0
5,0.172,0.214,0.148,0.466,Ch4,,0,0,0,1,Ch4,1
6,0.096,0.2,0.048,0.656,Ch4,,1,0,0,0,Ch1,0
7,0.196,0.432,0.192,0.18,Ch2,,0,1,0,0,Ch2,1
8,0.074,0.194,0.042,0.69,Ch4,,0,0,0,1,Ch4,1
10,0.106,0.184,0.222,0.488,Ch4,,0,0,0,1,Ch4,1
10,0.168,0.134,0.218,0.48,Ch4,,0,0,0,1,Ch4,1
10,0.07,0.118,0.06,0.752,Ch4,,0,0,0,1,Ch4,1
11,0.144,0.166,0.14,0.55,Ch4,,0,0,0,1,Ch4,1
12,0.094,0.086,0.068,0.752,Ch4,,0,0,0,1,Ch4,1
13,0.356,0.114,0.194,0.336,Ch1,,1,0,0,0,Ch1,1
15,0.092,0.2,0.262,0.446,Ch4,,0,0,0,1,Ch4,1
16,0.054,0.08,0.104,0.762,Ch4,,0,0,0,1,Ch4,1
17,0.044,0.074,0.082,0.8,Ch4,,0,0,1,0,Ch3,0
18,0.116,0.112,0.156,0.616,Ch4,,0,0,0,1,Ch4,1
19,0.182,0.174,0.126,0.518,Ch4,,0,0,0,1,Ch4,1
1,0.256,0.46,0.148,0.136,Ch2,,0,1,0,0,Ch2,1
1,0.226,0.498,0.152,0.124,Ch2,,0,1,0,0,Ch2,1
2,0.514,0.18,0.184,0.122,Ch1,,1,0,0,0,Ch1,1
3,0.216,0.256,0.392,0.136,Ch3,,0,0,1,0,Ch3,1
6,0.476,0.196,0.166,0.162,Ch1,,1,0,0,0,Ch1,1
9,0.442,0.242,0.172,0.144,Ch1,,1,0,0,0,Ch1,1
11,0.262,0.382,0.16,0.196,Ch2,,0,1,0,0,Ch2,1
11,0.438,0.314,0.076,0.172,Ch1,,0,1,0,0,Ch2,0
13,0.27,0.268,0.31,0.152,Ch3,,0,0,1,0,Ch3,1
14,0.456,0.204,0.162,0.178,Ch1,,1,0,0,0,Ch1,1
14,0.388,0.306,0.132,0.174,Ch1,,1,0,0,0,Ch1,1
15,0.434,0.298,0.092,0.176,Ch1,,0,0,0,1,Ch4,0
16,0.282,0.388,0.192,0.138,Ch2,,1,0,0,0,Ch1,0
16,0.398,0.254,0.126,0.222,Ch1,,1,0,0,0,Ch1,1
1,0.35,0.11,0.314,0.226,Ch1,,0,0,1,0,Ch3,0
2,0.424,0.192,0.236,0.148,Ch1,,1,0,0,0,Ch1,1
3,0.158,0.176,0.496,0.17,Ch3,,0,0,1,0,Ch3,1
5,0.136,0.2,0.524,0.14,Ch3,,0,0,1,0,Ch3,1
6,0.388,0.246,0.212,0.154,Ch1,,1,0,0,0,Ch1,1
8,0.462,0.124,0.234,0.18,Ch1,,1,0,0,0,Ch1,1
9,0.148,0.444,0.226,0.182,Ch2,,0,1,0,0,Ch2,1
11,0.124,0.212,0.436,0.228,Ch3,,0,0,1,0,Ch3,1
11,0.116,0.196,0.554,0.134,Ch3,,0,0,1,0,Ch3,1
12,0.236,0.392,0.196,0.176,Ch2,,0,1,0,0,Ch2,1
15,0.098,0.358,0.334,0.21,Ch2,,0,1,0,0,Ch2,1
16,0.122,0.192,0.492,0.194,Ch3,,0,0,1,0,Ch3,1
19,0.044,0.118,0.518,0.32,Ch3,,0,0,1,0,Ch3,1
2,0.43,0.218,0.21,0.142,Ch1,,1,0,0,0,Ch1,1
3,0.148,0.24,0.42,0.192,Ch3,,0,0,1,0,Ch3,1
4,0.124,0.126,0.606,0.144,Ch3,,0,0,1,0,Ch3,1
6,0.098,0.122,0.172,0.608,Ch4,,0,0,0,1,Ch4,1
9,0.074,0.134,0.154,0.638,Ch4,,0,0,0,1,Ch4,1
9,0.014,0.064,0.23,0.692,Ch4,,0,0,0,1,Ch4,1
10,0.112,0.218,0.16,0.51,Ch4,,0,0,0,1,Ch4,1
11,0.114,0.164,0.2,0.522,Ch4,,0,0,1,0,Ch3,0
11,0.11,0.242,0.224,0.424,Ch4,,0,0,1,0,Ch3,0
11,0.128,0.21,0.23,0.432,Ch4,,0,0,1,0,Ch3,0
12,0.094,0.146,0.5,0.26,Ch3,,0,0,1,0,Ch3,1
13,0.018,0.074,0.344,0.564,Ch4,,0,0,0,1,Ch4,1
14,0.074,0.158,0.188,0.58,Ch4,,0,0,0,1,Ch4,1
15,0.116,0.198,0.198,0.488,Ch4,,0,0,0,1,Ch4,1
16,0.02,0.09,0.216,0.674,Ch4,,0,0,0,1,Ch4,1
17,0.074,0.128,0.148,0.65,Ch4,,0,0,0,1,Ch4,1
19,0.144,0.152,0.366,0.338,Ch3,,0,0,1,0,Ch3,1
19,0.126,0.182,0.34,0.352,Ch4,,0,0,1,0,Ch3,0
1,0.096,0.118,0.142,0.644,Ch4,,0,0,0,1,Ch4,1
2,0.106,0.104,0.134,0.656,Ch4,,0,0,0,1,Ch4,1
4,0.164,0.12,0.146,0.57,Ch4,,0,0,0,1,Ch4,1
4,0.096,0.124,0.194,0.586,Ch4,,0,0,0,1,Ch4,1
5,0.094,0.118,0.064,0.724,Ch4,,0,0,0,1,Ch4,1
6,0.008,0.012,0.026,0.954,Ch4,,0,0,0,1,Ch4,1
8,0.138,0.12,0.1,0.642,Ch4,,0,0,0,1,Ch4,1
8,0.012,0.01,0.008,0.97,Ch4,,0,0,0,1,Ch4,1
9,0.176,0.226,0.098,0.5,Ch4,,0,0,0,1,Ch4,1
11,0.056,0.104,0.094,0.746,Ch4,,0,0,0,1,Ch4,1
13,0.01,0.004,0,0.986,Ch4,,0,0,0,1,Ch4,1
14,0.086,0.096,0.098,0.72,Ch4,,0,0,0,1,Ch4,1
16,0.046,0.12,0.12,0.714,Ch4,,0,0,0,1,Ch4,1
18,0.07,0.11,0.086,0.734,Ch4,,0,0,0,1,Ch4,1
19,0.122,0.074,0.104,0.7,Ch4,,0,0,0,1,Ch4,1
2,0.742,0.11,0.12,0.028,Ch1,,1,0,0,0,Ch1,1
3,0.726,0.122,0.11,0.042,Ch1,,1,0,0,0,Ch1,1
3,0.872,0.09,0.026,0.012,Ch1,,1,0,0,0,Ch1,1
5,0.738,0.138,0.09,0.034,Ch1,,1,0,0,0,Ch1,1
6,0.768,0.108,0.096,0.028,Ch1,,1,0,0,0,Ch1,1
7,0.762,0.086,0.122,0.03,Ch1,,1,0,0,0,Ch1,1
7,0.916,0.058,0.01,0.016,Ch1,,1,0,0,0,Ch1,1
9,0.696,0.088,0.166,0.05,Ch1,,1,0,0,0,Ch1,1
12,0.728,0.122,0.106,0.044,Ch1,,1,0,0,0,Ch1,1
13,0.738,0.12,0.108,0.034,Ch1,,1,0,0,0,Ch1,1
13,0.78,0.098,0.086,0.036,Ch1,,1,0,0,0,Ch1,1
16,0.724,0.114,0.098,0.064,Ch1,,1,0,0,0,Ch1,1
16,0.904,0.06,0.014,0.022,Ch1,,1,0,0,0,Ch1,1
18,0.874,0.064,0.032,0.03,Ch1,,1,0,0,0,Ch1,1
19,0.76,0.128,0.058,0.054,Ch1,,1,0,0,0,Ch1,1
19,0.842,0.082,0.04,0.036,Ch1,,1,0,0,0,Ch1,1
1,0.248,0.434,0.178,0.14,Ch2,,0,1,0,0,Ch2,1
1,0.47,0.322,0.072,0.136,Ch1,,0,1,0,0,Ch2,0
5,0.474,0.286,0.126,0.114,Ch1,,1,0,0,0,Ch1,1
5,0.384,0.254,0.228,0.134,Ch1,,1,0,0,0,Ch1,1
5,0.45,0.372,0.04,0.138,Ch1,,1,0,0,0,Ch1,1
8,0.438,0.216,0.228,0.118,Ch1,,1,0,0,0,Ch1,1
8,0.426,0.362,0.064,0.148,Ch1,,1,0,0,0,Ch1,1
10,0.34,0.272,0.194,0.194,Ch1,,1,0,0,0,Ch1,1
12,0.2,0.44,0.156,0.204,Ch2,,0,1,0,0,Ch2,1
14,0.242,0.556,0.054,0.148,Ch2,,0,0,1,0,Ch3,0
15,0.174,0.432,0.284,0.11,Ch2,,0,1,0,0,Ch2,1
15,0.164,0.62,0.068,0.148,Ch2,,0,1,0,0,Ch2,1
16,0.21,0.438,0.164,0.188,Ch2,,0,1,0,0,Ch2,1
17,0.154,0.254,0.458,0.134,Ch3,,0,0,1,0,Ch3,1
18,0.158,0.48,0.19,0.172,Ch2,,0,1,0,0,Ch2,1
1,0.164,0.15,0.522,0.164,Ch3,,0,0,1,0,Ch3,1
3,0.112,0.174,0.556,0.158,Ch3,,0,0,1,0,Ch3,1
9,0.266,0.45,0.076,0.208,Ch2,,1,0,0,0,Ch1,0
10,0.278,0.472,0.07,0.18,Ch2,,1,0,0,0,Ch1,0
11,0.288,0.502,0.06,0.15,Ch2,,0,0,0,1,Ch4,0
12,0.204,0.502,0.14,0.154,Ch2,,0,1,0,0,Ch2,1
13,0.526,0.162,0.14,0.172,Ch1,,1,0,0,0,Ch1,1
14,0.428,0.264,0.122,0.186,Ch1,,1,0,0,0,Ch1,1
17,0.328,0.318,0.152,0.202,Ch1,,1,0,0,0,Ch1,1
17,0.34,0.304,0.142,0.214,Ch1,,1,0,0,0,Ch1,1
18,0.658,0.132,0.09,0.12,Ch1,,1,0,0,0,Ch1,1
1,0.138,0.154,0.554,0.154,Ch3,,0,0,1,0,Ch3,1
2,0.116,0.392,0.386,0.106,Ch2,,0,0,1,0,Ch3,0
3,0.188,0.43,0.232,0.15,Ch2,,0,1,0,0,Ch2,1
4,0.234,0.472,0.184,0.11,Ch2,,0,1,0,0,Ch2,1
8,0.336,0.304,0.222,0.138,Ch1,,1,0,0,0,Ch1,1
9,0.17,0.206,0.41,0.214,Ch3,,0,0,1,0,Ch3,1
11,0.18,0.208,0.468,0.144,Ch3,,0,0,1,0,Ch3,1
11,0.168,0.188,0.546,0.098,Ch3,,0,0,1,0,Ch3,1
11,0.158,0.562,0.13,0.15,Ch2,,0,0,1,0,Ch3,0
12,0.156,0.594,0.092,0.158,Ch2,,1,0,0,0,Ch1,0
14,0.22,0.46,0.12,0.2,Ch2,,0,1,0,0,Ch2,1
15,0.2,0.496,0.094,0.21,Ch2,,1,0,0,0,Ch1,0
16,0.192,0.146,0.478,0.184,Ch3,,0,0,1,0,Ch3,1
16,0.24,0.432,0.1,0.228,Ch2,,0,0,1,0,Ch3,0
17,0.294,0.334,0.096,0.276,Ch2,,0,0,0,1,Ch4,0
18,0.354,0.18,0.174,0.292,Ch1,,1,0,0,0,Ch1,1
18,0.352,0.216,0.142,0.29,Ch1,,1,0,0,0,Ch1,1
19,0.258,0.136,0.138,0.468,Ch4,,0,0,0,1,Ch4,1
1,0.166,0.446,0.3,0.088,Ch2,,0,1,0,0,Ch2,1
1,0.19,0.402,0.326,0.082,Ch2,,0,1,0,0,Ch2,1
4,0.202,0.198,0.522,0.078,Ch3,,0,0,1,0,Ch3,1
7,0.198,0.176,0.568,0.058,Ch3,,1,0,0,0,Ch1,0
8,0.21,0.216,0.41,0.164,Ch3,,0,0,1,0,Ch3,1
8,0.286,0.202,0.406,0.106,Ch3,,0,0,1,0,Ch3,1
10,0.29,0.212,0.386,0.112,Ch3,,1,0,0,0,Ch1,0
11,0.37,0.244,0.29,0.096,Ch1,,0,0,1,0,Ch3,0
11,0.272,0.266,0.306,0.156,Ch3,,0,0,1,0,Ch3,1
11,0.296,0.24,0.362,0.102,Ch3,,0,0,1,0,Ch3,1
12,0.202,0.242,0.138,0.418,Ch4,,0,0,0,1,Ch4,1
13,0.248,0.456,0.18,0.116,Ch2,,0,1,0,0,Ch2,1
14,0.572,0.164,0.17,0.094,Ch1,,1,0,0,0,Ch1,1
15,0.408,0.38,0.124,0.088,Ch1,,1,0,0,0,Ch1,1
16,0.634,0.148,0.108,0.11,Ch1,,1,0,0,0,Ch1,1
17,0.308,0.366,0.184,0.142,Ch2,,0,1,0,0,Ch2,1
17,0.296,0.404,0.19,0.11,Ch2,,0,1,0,0,Ch2,1
18,0.222,0.23,0.452,0.096,Ch3,,0,0,1,0,Ch3,1
18,0.218,0.252,0.426,0.104,Ch3,,0,0,1,0,Ch3,1
18,0.254,0.532,0.134,0.08,Ch2,,0,0,1,0,Ch3,0
19,0.252,0.364,0.238,0.146,Ch2,,0,1,0,0,Ch2,1
19,0.268,0.38,0.216,0.136,Ch2,,0,1,0,0,Ch2,1
19,0.268,0.356,0.254,0.122,Ch2,,0,1,0,0,Ch2,1
1,0.344,0.282,0.072,0.302,Ch1,,0,0,0,1,Ch4,0
2,0.364,0.266,0.074,0.296,Ch1,,0,0,0,1,Ch4,0
3,0.532,0.178,0.108,0.182,Ch1,,1,0,0,0,Ch1,1
4,0.324,0.316,0.086,0.274,Ch1,,0,0,0,1,Ch4,0
5,0.166,0.226,0.1,0.508,Ch4,,0,0,0,1,Ch4,1
5,0.148,0.436,0.028,0.388,Ch2,,0,0,0,1,Ch4,0
6,0.094,0.248,0.098,0.56,Ch4,,0,0,0,1,Ch4,1
7,0.116,0.218,0.188,0.478,Ch4,,0,0,0,1,Ch4,1
7,0.066,0.52,0.02,0.394,Ch2,,0,0,0,1,Ch4,0
9,0.086,0.476,0.068,0.37,Ch2,,0,1,0,0,Ch2,1
9,0.106,0.402,0.214,0.278,Ch2,,0,1,0,0,Ch2,1
10,0.134,0.494,0.148,0.224,Ch2,,0,1,0,0,Ch2,1
11,0.118,0.47,0.12,0.292,Ch2,,0,1,0,0,Ch2,1
11,0.132,0.474,0.112,0.282,Ch2,,0,1,0,0,Ch2,1
14,0.15,0.564,0.112,0.174,Ch2,,0,1,0,0,Ch2,1
16,0.106,0.54,0.066,0.288,Ch2,,0,1,0,0,Ch2,1
18,0.174,0.222,0.364,0.24,Ch3,,0,0,1,0,Ch3,1
19,0.086,0.198,0.5,0.216,Ch3,,0,0,1,0,Ch3,1
1,0.138,0.18,0.118,0.564,Ch4,,0,0,0,1,Ch4,1
2,0.066,0.11,0.056,0.768,Ch4,,0,0,0,1,Ch4,1
5,0.044,0.158,0.046,0.752,Ch4,,0,0,0,1,Ch4,1
6,0.19,0.254,0.164,0.392,Ch4,,0,1,0,0,Ch2,0
6,0.164,0.26,0.126,0.45,Ch4,,0,1,0,0,Ch2,0
8,0.096,0.128,0.396,0.38,Ch3,,0,0,1,0,Ch3,1
12,0.266,0.16,0.138,0.436,Ch4,,0,0,0,1,Ch4,1
12,0.208,0.126,0.152,0.514,Ch4,,0,0,0,1,Ch4,1
12,0.116,0.058,0.022,0.804,Ch4,,0,0,0,1,Ch4,1
13,0.144,0.114,0.122,0.62,Ch4,,0,0,0,1,Ch4,1
13,0.222,0.042,0.014,0.722,Ch4,,0,0,0,1,Ch4,1
15,0.134,0.126,0.14,0.6,Ch4,,0,0,0,1,Ch4,1
16,0.126,0.104,0.12,0.65,Ch4,,0,0,0,1,Ch4,1
16,0.214,0.052,0.022,0.712,Ch4,,0,0,0,1,Ch4,1
17,0.268,0.054,0.02,0.658,Ch4,,0,0,0,1,Ch4,1
3,0.468,0.212,0.13,0.19,Ch1,,1,0,0,0,Ch1,1
5,0.19,0.432,0.178,0.2,Ch2,,0,1,0,0,Ch2,1
5,0.126,0.54,0.156,0.178,Ch2,,0,1,0,0,Ch2,1
6,0.13,0.546,0.16,0.164,Ch2,,0,1,0,0,Ch2,1
6,0.116,0.47,0.232,0.182,Ch2,,0,1,0,0,Ch2,1
7,0.192,0.312,0.318,0.178,Ch3,,0,0,1,0,Ch3,1
8,0.148,0.378,0.23,0.244,Ch2,,0,1,0,0,Ch2,1
8,0.19,0.362,0.154,0.294,Ch2,,0,1,0,0,Ch2,1
11,0.154,0.426,0.222,0.198,Ch2,,0,1,0,0,Ch2,1
12,0.176,0.208,0.432,0.184,Ch3,,0,0,1,0,Ch3,1
13,0.19,0.19,0.346,0.274,Ch3,,0,0,1,0,Ch3,1
13,0.194,0.226,0.37,0.21,Ch3,,0,0,1,0,Ch3,1
13,0.21,0.218,0.366,0.206,Ch3,,0,0,1,0,Ch3,1
14,0.198,0.276,0.278,0.248,Ch3,,0,0,1,0,Ch3,1
14,0.206,0.278,0.268,0.248,Ch2,,0,0,1,0,Ch3,0
15,0.288,0.174,0.328,0.21,Ch3,,0,0,1,0,Ch3,1
16,0.324,0.246,0.222,0.208,Ch1,,1,0,0,0,Ch1,1
18,0.1,0.12,0.622,0.158,Ch3,,0,0,1,0,Ch3,1
19,0.372,0.2,0.228,0.2,Ch1,,1,0,0,0,Ch1,1
1,0.172,0.264,0.142,0.422,Ch4,,0,0,1,0,Ch3,0
2,0.136,0.154,0.438,0.272,Ch3,,0,0,1,0,Ch3,1
2,0.182,0.266,0.108,0.444,Ch4,,0,0,1,0,Ch3,0
3,0.092,0.178,0.23,0.5,Ch4,,0,0,0,1,Ch4,1
4,0.43,0.162,0.156,0.252,Ch1,,1,0,0,0,Ch1,1
6,0.124,0.372,0.082,0.422,Ch4,,0,0,0,1,Ch4,1
7,0.098,0.336,0.096,0.47,Ch4,,1,0,0,0,Ch1,0
10,0.142,0.16,0.128,0.57,Ch4,,0,0,0,1,Ch4,1
12,0.182,0.512,0.128,0.178,Ch2,,0,1,0,0,Ch2,1
13,0.044,0.562,0.056,0.338,Ch2,,0,0,1,0,Ch3,0
14,0.05,0.554,0.056,0.34,Ch2,,0,0,1,0,Ch3,0
15,0.04,0.528,0.05,0.382,Ch2,,0,0,0,1,Ch4,0
17,0.118,0.442,0.132,0.308,Ch2,,0,1,0,0,Ch2,1
18,0.136,0.448,0.13,0.286,Ch2,,0,1,0,0,Ch2,1
19,0.074,0.572,0.058,0.296,Ch2,,0,0,0,1,Ch4,0
1,0.128,0.552,0.168,0.152,Ch2,,0,1,0,0,Ch2,1
1,0.444,0.16,0.256,0.14,Ch1,,0,1,0,0,Ch2,0
3,0.206,0.188,0.486,0.12,Ch3,,0,0,1,0,Ch3,1
5,0.426,0.192,0.26,0.122,Ch1,,0,0,1,0,Ch3,0
6,0.35,0.304,0.226,0.12,Ch1,,1,0,0,0,Ch1,1
9,0.36,0.216,0.272,0.152,Ch1,,1,0,0,0,Ch1,1
9,0.366,0.224,0.264,0.146,Ch1,,1,0,0,0,Ch1,1
12,0.224,0.418,0.258,0.1,Ch2,,0,0,1,0,Ch3,0
12,0.23,0.328,0.298,0.144,Ch2,,0,0,1,0,Ch3,0
12,0.118,0.662,0.11,0.11,Ch2,,0,0,1,0,Ch3,0
13,0.158,0.3,0.402,0.14,Ch3,,0,0,1,0,Ch3,1
14,0.104,0.676,0.11,0.11,Ch2,,0,1,0,0,Ch2,1
17,0.22,0.448,0.164,0.168,Ch2,,0,1,0,0,Ch2,1
17,0.192,0.468,0.156,0.184,Ch2,,0,1,0,0,Ch2,1
19,0.124,0.684,0.066,0.126,Ch2,,1,0,0,0,Ch1,0
1,0.18,0.192,0.392,0.236,Ch3,,0,0,1,0,Ch3,1
1,0.204,0.23,0.306,0.26,Ch3,,0,0,1,0,Ch3,1
2,0.156,0.15,0.2,0.494,Ch4,,0,0,0,1,Ch4,1
4,0.276,0.12,0.192,0.412,Ch4,,0,0,0,1,Ch4,1
5,0.164,0.198,0.45,0.188,Ch3,,0,0,1,0,Ch3,1
6,0.152,0.136,0.152,0.56,Ch4,,0,0,0,1,Ch4,1
6,0.156,0.152,0.108,0.584,Ch4,,0,0,0,1,Ch4,1
6,0.1,0.124,0.176,0.6,Ch4,,0,0,0,1,Ch4,1
7,0.07,0.118,0.102,0.71,Ch4,,0,0,0,1,Ch4,1
9,0.148,0.134,0.17,0.548,Ch4,,0,0,0,1,Ch4,1
9,0.202,0.144,0.14,0.514,Ch4,,0,0,0,1,Ch4,1
